category,gene_set,symbol,entrez,ensembl
ce,OPC,A2M,2,ENSG00000175899
ce,OPC,GAB3,139716,ENSG00000160219
ce,OPC,CMKLR1,1240,ENSG00000174600
ce,OPC,TREM1,54210,ENSG00000124731
ce,OPC,GALR1,2587,ENSG00000166573
ce,OPC,PAX6,5080,ENSG00000007372
ce,OPC,COL11A1,1301,ENSG00000060718
ce,OPC,CXXC4,80319,ENSG00000168772
ce,OPC,SCG2,7857,ENSG00000171951
ce,OPC,BEND4,389206,ENSG00000188848
ce,OPC,SHC4,399694,ENSG00000185634
ce,OPC,ATP13A4,84239,ENSG00000127249
ce,OPC,SERPINE2,5270,ENSG00000135919
ce,OPC,GFRA1,2674,ENSG00000151892
ce,OPC,MAMDC2,256691,
ce,OPC,SH2D4A,63898,ENSG00000104611
ce,OPC,MEGF11,84465,
ce,OPC,SLITRK1,114798,ENSG00000178235
ce,OPC,GRIA3,2892,ENSG00000125675
ce,OPC,XYLT1,64131,
ce,OPC,LUZP2,338645,ENSG00000187398
ce,OPC,LAMB4,22798,ENSG00000091128
ce,OPC,LHFPL3,375612,ENSG00000187416
ce,OPC,BLM,641,ENSG00000197299
ce,OPC,HRASLS,,
ce,OPC,CASC5,,
ce,OPC,IQGAP2,10788,ENSG00000145703
ce,Oligo,MSX1,4487,ENSG00000163132
ce,Oligo,ADAMTS4,9507,ENSG00000158859
ce,Oligo,TF,7018,ENSG00000091513
ce,Oligo,TMEM144,55314,ENSG00000164124
ce,Oligo,ENPP2,5168,ENSG00000136960
ce,Oligo,KLK6,5653,ENSG00000167755
ce,Oligo,ERMN,57471,ENSG00000136541
ce,Oligo,RNASE1,6035,ENSG00000129538
ce,Oligo,PLP1,5354,ENSG00000123560
ce,Oligo,OPALIN,93377,ENSG00000197430
ce,Oligo,CNDP1,84735,ENSG00000150656
ce,Oligo,FOLH1,2346,ENSG00000086205
ce,Oligo,UGT8,7368,ENSG00000174607
ce,Oligo,CNP,1267,ENSG00000173786
ce,Oligo,PLEKHB1,58473,ENSG00000021300
ce,Oligo,MAL,4118,ENSG00000172005
ce,Oligo,GPR37,2861,ENSG00000170775
ce,Oligo,NR4A2,4929,ENSG00000153234
ce,Oligo,B3GNT7,93010,ENSG00000156966
ce,Oligo,GPNMB,10457,ENSG00000136235
ce,Oligo,GLYCTK,132158,ENSG00000168237
ce,Oligo,GJB1,2705,ENSG00000169562
ce,Oligo,PAQR6,79957,ENSG00000160781
ce,Oligo,GSN,2934,ENSG00000148180
ce,Oligo,ABCA8,10351,ENSG00000141338
ce,Oligo,FA2H,79152,ENSG00000103089
ce,Oligo,CARNS1,57571,ENSG00000172508
ce,Oligo,MOBP,4336,ENSG00000168314
ce,Oligo,MBP,4155,ENSG00000197971
ce,Oligo,CLDN11,5010,ENSG00000013297
ce,Oligo,RRBP1,6238,ENSG00000125844
ce,Oligo,OLFML2B,25903,ENSG00000162745
ce,Oligo,KCNMB4,27345,ENSG00000135643
ce,Oligo,LGI3,203190,ENSG00000168481
ce,Oligo,MAG,4099,ENSG00000105695
ni,5HT1a,HTR1A,3350,ENSG00000178394
ni,5HT1b,HTR1B,3351,ENSG00000135312
ni,5HT2a,HTR2A,3356,ENSG00000102468
ni,5HT4,HTR4,3360,ENSG00000164270
ni,5HT6,HTR6,3362,ENSG00000158748
ni,5HTT,SLC6A4,6532,ENSG00000108576
ni,A4B2,CHRNA4,1137,ENSG00000101204
ni,A4B2,CHRNB2,1141,ENSG00000160716
ni,CB1,CNR1,1268,ENSG00000118432
ni,CMRglu,KCNS1,3787,ENSG00000124134
ni,CMRglu,RND1,27289,ENSG00000172602
ni,CMRglu,NLK,51701,ENSG00000087095
ni,CMRglu,PKNOX2,63876,ENSG00000165495
ni,CMRglu,MCHR2,84539,ENSG00000152034
ni,CMRglu,PI4KA,5297,ENSG00000241973
ni,CMRglu,TMEM155,,
ni,CMRglu,FBLN7,129804,ENSG00000144152
ni,CMRglu,HTR2A,3356,ENSG00000102468
ni,CMRglu,RSPO2,340419,ENSG00000147655
ni,CMRglu,RGS4,5999,ENSG00000117152
ni,CMRglu,NOS2,4843,ENSG00000007171
ni,CMRglu,STAMBPL1,57559,ENSG00000138134
ni,CMRglu,KCNIP3,30818,ENSG00000115041
ni,CMRglu,CABP1,9478,ENSG00000157782
ni,CMRglu,EMX1,2016,ENSG00000135638
ni,CMRglu,RXFP1,59350,ENSG00000171509
ni,CMRglu,ATCAY,85300,ENSG00000167654
ni,CMRglu,ETS2,2114,ENSG00000157557
ni,CMRglu,PPL,5493,ENSG00000118898
ni,CMRglu,SATB2,23314,ENSG00000119042
ni,CMRglu,NUAK1,9891,ENSG00000074590
ni,CMRglu,TMEM132D,121256,ENSG00000151952
ni,CMRglu,GFRA2,2675,ENSG00000168546
ni,CMRglu,CDKL1,8814,ENSG00000100490
ni,CMRglu,C9orf126,,
ni,CMRglu,FLJ34047,,
ni,CMRglu,MEF2C,4208,ENSG00000081189
ni,CMRglu,PART1,25859,ENSG00000152931
ni,CMRglu,PIK3R1,5295,ENSG00000145675
ni,CMRglu,CHN1,1123,ENSG00000128656
ni,CMRglu,SATB1,6304,ENSG00000182568
ni,CMRglu,DNAJC5G,285126,ENSG00000163793
ni,CMRglu,LRRC8B,23507,ENSG00000197147
ni,CMRglu,SERPINI1,5274,ENSG00000163536
ni,CMRglu,TBR1,10716,ENSG00000136535
ni,CMRglu,KHDRBS3,10656,ENSG00000131773
ni,CMRglu,ETV5,2119,ENSG00000244405
ni,COX1,PTGS1,5742,ENSG00000095303
ni,D1,DRD1,1812,ENSG00000184845
ni,D2,DRD2,1813,ENSG00000149295
ni,DAT,SLC6A3,6531,
ni,FDOPA,DDC,1644,ENSG00000132437
ni,GABAa,GABRA1,2554,ENSG00000022355
ni,GABAa,GABRA2,2555,ENSG00000151834
ni,GABAa,GABRA3,2556,ENSG00000011677
ni,GABAa,GABRA4,2557,ENSG00000109158
ni,GABAa,GABRA5,2558,ENSG00000186297
ni,GABAa,GABRA6,2559,ENSG00000145863
ni,GABAa,GABRB1,2560,ENSG00000163288
ni,GABAa,GABRB2,2561,ENSG00000145864
ni,GABAa,GABRB3,2562,ENSG00000166206
ni,GABAa,GABRG1,2565,ENSG00000163285
ni,GABAa,GABRG2,2566,ENSG00000113327
ni,GABAa,GABRG3,2567,ENSG00000182256
ni,GABAa,GABRD,2563,ENSG00000187730
ni,GABAa,GABRE,2564,ENSG00000102287
