,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,CB1,CBF,CMRglu,COX1,D1,D2,DAT,FDOPA,GABAa,GI,H3,HDAC,M1,mGluR5,MU,NET,NMDA,SV2A,TSPO,VAChT
rh_G_temp_sup-G_T_transv_thickness,0.7587372660636902,0.3950008153915405,2.0730836391448975,1.4927242994308472,0.5787307620048523,1.9305423498153687,0.4237461984157562,0.2422175109386444,1.654976725578308,0.9141098260879517,0.2488327920436859,1.3393386602401733,0.5277805328369141,0.6203516125679016,0.38502585887908936,2.321972608566284,-0.5755837559700012,1.077291488647461,2.049835443496704,1.1350650787353516,1.8744237422943115,-0.6604212522506714,1.7144526243209839,2.64833664894104,0.7094658613204956,1.5417747497558594,1.6269588470458984
rh_G_temp_sup-Lateral_thickness,1.5902856588363647,-0.9872788786888123,2.081759214401245,2.4457502365112305,0.0015272204764187336,1.1265476942062378,-0.534060537815094,0.7248210906982422,-1.0123547315597534,-1.0276355743408203,-1.4578629732131958,-0.6772356033325195,1.3083546161651611,-0.5662596225738525,-0.45124465227127075,0.330849826335907,-1.413870930671692,0.14055389165878296,-0.14290283620357513,0.964525580406189,0.4876696467399597,-0.03980576992034912,0.28712067008018494,0.024359755218029022,0.9835336804389954,-0.5591214299201965,0.6051942110061646
rh_G_temp_sup-Plan_polar_thickness,1.9452248811721802,-1.4051058292388916,-0.10286290943622589,0.9833397269248962,-0.7696404457092285,2.5217361450195312,-1.7741161584854126,0.9441676735877991,-1.7380905151367188,-2.701997995376587,-1.5091980695724487,-0.0751190260052681,1.6598511934280396,0.4742893576622009,1.1231120824813843,-1.0796267986297607,-2.1314029693603516,0.2530738115310669,-2.2935664653778076,-0.10327502340078354,-0.06903265416622162,0.5215530395507812,-1.3259094953536987,-0.6736294627189636,-0.5287973880767822,1.1267967224121094,-0.798672080039978
rh_G_temp_sup-Plan_tempo_thickness,0.8998035788536072,0.9928827881813049,1.8321638107299805,1.7781076431274414,0.9390832781791687,0.36854079365730286,0.9357497096061707,0.8086450695991516,0.6743306517601013,0.19257058203220367,-0.27156680822372437,0.10746124386787415,0.5700801610946655,-0.30588439106941223,-0.49385005235671997,1.0941709280014038,-0.8953220248222351,0.6913930773735046,1.1984838247299194,1.561449408531189,1.6959800720214844,0.11979910731315613,1.6414328813552856,1.4331917762756348,1.5826386213302612,-0.01850760728120804,0.3866054117679596
rh_G_temporal_inf_thickness,0.7961657643318176,-0.01609346643090248,0.5410515666007996,0.8488320708274841,0.6866697669029236,-0.47710976004600525,0.13463503122329712,0.7014438509941101,-1.3790408372879028,-1.0021681785583496,-0.7902073264122009,0.6174300312995911,1.8334267139434814,-0.05237874388694763,0.573409378528595,-0.2501419186592102,-0.5994722843170166,-0.562027633190155,1.1104463338851929,1.0736010074615479,0.12147267162799835,0.5940589904785156,0.05678305774927139,0.045142509043216705,0.9036952257156372,-0.03886522725224495,-0.7003554701805115
rh_G_temporal_middle_thickness,1.2846612930297852,0.20655867457389832,1.5314726829528809,1.7481228113174438,1.0490450859069824,-0.13457441329956055,0.5732548236846924,1.0274522304534912,-1.0440961122512817,-0.5784687399864197,-0.9922674894332886,0.39323416352272034,1.8299843072891235,-0.2541337013244629,0.11615394055843353,0.8722103238105774,-0.22899805009365082,-0.12334638088941574,0.8773801922798157,1.5194578170776367,0.8091986775398254,0.5879503488540649,0.6417281031608582,0.4300253093242645,1.5636353492736816,0.186787948012352,-0.40596312284469604
rh_Lat_Fis-ant-Horizont_thickness,-0.5610560178756714,1.1582449674606323,-0.7477031946182251,-0.8972176909446716,0.5387899279594421,-0.6458848118782043,1.286760687828064,-0.11371197551488876,0.4385661482810974,0.46050265431404114,0.5068230032920837,-0.5105546712875366,-0.4101935625076294,0.781542956829071,0.7509416341781616,0.015382739715278149,0.7906404137611389,0.4969445765018463,-0.04152975231409073,0.42231878638267517,0.33449679613113403,0.34142741560935974,0.2588835060596466,0.09894681721925735,1.2610814571380615,0.5346428155899048,-0.0889587253332138
rh_Lat_Fis-ant-Vertical_thickness,-0.024647876620292664,1.2645894289016724,0.07106795161962509,-0.2628538906574249,1.0159624814987183,-0.3821749687194824,1.5053194761276245,0.6245045065879822,1.1291084289550781,0.8366956114768982,0.14368034899234772,0.357115775346756,-0.1876303106546402,0.5906695127487183,0.49281707406044006,1.1738566160202026,0.7677295804023743,0.9447724223136902,-0.15585994720458984,-0.0241068284958601,1.5372920036315918,0.6312020421028137,0.5577200651168823,0.6009417772293091,0.7910024523735046,0.34747594594955444,0.618949294090271
rh_Lat_Fis-post_thickness,-0.06640467047691345,-0.4828205406665802,-0.15238212049007416,-0.20039795339107513,-0.2667680084705353,0.8619852066040039,0.5485208034515381,-1.2025028467178345,0.4913310408592224,-0.1915178894996643,0.6150785088539124,0.4536868631839752,0.0705508291721344,0.8690727353096008,0.435552179813385,0.9262041449546814,-0.37481051683425903,-0.3492406904697418,-0.31661656498908997,-0.44573333859443665,0.4552324712276459,-0.23068572580814362,0.5305147171020508,0.9376115798950195,0.18275052309036255,-0.7191122174263,1.201783299446106
rh_Pole_occipital_thickness,-1.395187497138977,1.328316330909729,-0.8426427841186523,-1.4048038721084595,0.14251992106437683,-0.7432241439819336,-0.15433524549007416,-1.1644821166992188,0.40466243028640747,0.3818531930446625,2.7908647060394287,-1.2833002805709839,-0.911601722240448,-0.7930139899253845,-1.1760551929473877,1.77265202999115,-1.2314645051956177,-0.7390120625495911,1.598743200302124,0.8126367330551147,-1.4492230415344238,-2.2721691131591797,-0.0030950296204537153,-0.8080468773841858,0.3930424749851227,-2.0745022296905518,-1.3525995016098022
