,mGluR5-abp688-73-smart2019.nii.gz,mGluR5-abp688-13-kaulen2022.nii.gz,D2-flb457-55-sandiego2015.nii.gz,mGluR5-abp688-28-dubois2015.nii.gz,VAChT-feobv-4-tuominen.nii.gz,D2-flb457-37-smith2019.nii.gz,VAChT-feobv-18-aghourian2017.nii.gz,mGluR5-abp688-22-rosaneto.nii.gz
rh_G_Ins_lg&S_cent_ins_thickness,1.453825831413269,1.9123443365097046,3.1245968341827393,1.0138565301895142,2.8004817962646484,1.8908650875091553,1.9715898036956787,0.2982846796512604
rh_G_insular_short_thickness,2.1383612155914307,2.5401294231414795,1.9181222915649414,1.771223545074463,1.3842132091522217,1.4633865356445312,1.2496027946472168,1.225045084953308
rh_G_occipital_middle_thickness,0.143107071518898,1.1647846698760986,0.07265576720237732,0.42899325489997864,-0.7221456170082092,0.080093152821064,-0.644149899482727,1.0736513137817383
rh_G_occipital_sup_thickness,-0.5180839896202087,-0.32882827520370483,-0.5592125654220581,-0.6642970442771912,-1.0024869441986084,-0.32820218801498413,-1.0519201755523682,-0.4656408429145813
rh_G_oc-temp_lat-fusifor_thickness,-0.3113108277320862,1.2221884727478027,0.5774881839752197,-0.16056890785694122,-0.6341989040374756,0.7640809416770935,-1.0137635469436646,0.052531108260154724
rh_G_oc-temp_med-Lingual_thickness,-0.9117680191993713,-0.24061670899391174,-1.056952953338623,-0.9457224607467651,-0.4369533956050873,-0.8984211087226868,-1.6447683572769165,-1.2280468940734863
rh_G_oc-temp_med-Parahip_thickness,-2.3530054092407227,-0.25332513451576233,0.18975830078125,-2.377979278564453,-0.6114999055862427,0.47391000390052795,-0.926324188709259,-2.60317325592041
rh_G_orbital_thickness,-0.35451817512512207,0.593868613243103,0.024697156623005867,0.31430739164352417,-0.48950910568237305,0.22584371268749237,0.32268035411834717,0.5039158463478088
rh_G_pariet_inf-Angular_thickness,0.9985290765762329,0.9194315671920776,0.443758100271225,0.8522481322288513,-0.6322337985038757,0.6797829866409302,-0.5865616202354431,1.153444766998291
rh_G_pariet_inf-Supramar_thickness,1.0326958894729614,0.48273590207099915,0.14897046983242035,1.0539957284927368,-0.2584085464477539,0.12413593381643295,-0.09767965227365494,1.1576026678085327
rh_G_parietal_sup_thickness,-0.280266135931015,-1.496621012687683,-0.5629199743270874,-0.9761614799499512,-1.2393959760665894,-0.38613706827163696,-1.0899229049682617,-0.9329606294631958
