,Ex1,Ex2,Ex3,Ex4,Ex5,Ex6,Ex7,Ex8,In1,In2,In3,In4,In5,In6,In7,In8,Astro,Endo,Micro,OPC,Oligo
lh_S_suborbital_thickness,0.19716645610066685,0.11272860008748478,-0.36754518769495337,0.4239034677619506,0.7298170600699037,0.7795232901886996,0.7879812461330823,0.19644112768562177,1.1837660702267971,0.3128387586693816,0.32857953499774173,-0.6509195822131091,0.018091451337322168,-0.25956989978228134,-0.44170062916731145,0.7728080948952488,0.9585692831160312,-0.32498474275062095,0.677039504644084,0.5900461616737337,-0.8619821633288582
lh_S_subparietal_thickness,-0.10372075933900715,0.11223335819836978,-0.28484301827016556,-0.08975107759949515,0.346737908284359,0.0817190948036888,-0.026563474213894617,-0.03117265757612587,0.1697794697156765,-0.17502695603801224,0.26122306526568156,0.2902817160122452,-0.19135311243552386,-0.06433848932375909,-0.2444243273525632,-0.5974302610661123,0.4206855034643899,0.10892705837251963,-0.46175714809216195,-0.30892350437440436,-0.26332431574126697
lh_S_temporal_inf_thickness,0.7390455719346954,-0.2220901627489041,-0.40687128985190457,0.39924600347337597,0.08073516040244219,-0.19419899024419915,0.18674545728959435,0.05348418632372758,0.3411843680796868,0.2577329818488559,0.344336712180848,-0.15456587657197332,0.5042400849194069,-0.5950850351664634,0.1596420971714571,0.16140509001268188,0.40320250200414964,0.3128644989328832,0.29005201037684636,0.3343894222432171,0.4071325100980077
lh_S_temporal_sup_thickness,0.35092982162049124,-0.1825438226631509,-0.25109727172455576,0.019641173805133756,0.13034728972316442,-0.3815679082243903,0.06574249551947557,-0.1458583495194014,-0.0950569992325718,-0.3348683635602515,-0.22983893121046414,-0.2748891527534829,0.31588373800344494,-0.5212453179975591,0.12326818138972458,-0.03518972065302439,-0.22846511632707425,0.17162156399413706,-0.45528657894677443,-0.3664695295458009,0.6401908922963777
lh_S_temporal_transverse_thickness,0.10355026740078532,0.14686010565571006,0.9229189687773842,-0.8823848454395641,-1.008444917450725,-0.5254188415175642,-0.3772471092881812,-0.05293723462333065,-1.5220013735555726,-0.674747302129454,-0.6830635161047038,0.7623534212441325,0.7687482987035283,0.1742270649511174,0.3909504476905773,1.5100225475451747,-0.9169317107586339,0.7609445400276774,0.9686451625823066,0.5814408270226917,1.2854190055061332
rh_G&S_frontomargin_thickness,0.49677715934233835,0.29754108633325493,0.12564555884199036,0.06949227538387365,-0.36100947448050325,-0.8905999305196304,0.14809491606879116,-0.04100075429088727,-0.09569653801074823,0.5168898879885021,-0.10691109985860792,0.23656694125481997,-0.015828605517438348,0.023568787401547487,-0.03661103979783598,0.9189943114978285,0.7614749740830866,0.35537009626966015,0.9548465495546339,0.6600202950104246,0.3232732974995422
rh_G&S_occipital_inf_thickness,0.12100846595372303,-0.0213312749498432,0.7266441033755767,-0.4239660932300845,-0.5941975694650247,-0.5025473668560178,-0.18464624144456562,-0.022535428147056055,-1.0942839035980636,-0.37699248299156934,-0.11211426943968461,0.3279616315100164,0.592744242832711,-0.005644606669868902,0.6493279568067485,-0.19012251472525873,-0.8031965467792312,0.4739574920385722,-0.24839331949593402,-0.2702313224666984,0.7506115824580845
rh_G&S_paracentral_thickness,-0.8195892068662439,-0.17572419481302953,-0.3111716062871158,-0.6505727552430343,-0.6022850935066424,0.13819386761435015,-0.2126030942809148,-0.045751314815733815,-0.670336520882397,-0.19122251702186707,-0.2787308993434134,0.4293862763323585,-0.4232656432509655,0.7566597032357586,-0.2528738122068753,-0.5317174924623523,-0.1576829037052725,0.32798417707380895,-0.05708111423521499,-0.078624836766557,0.7701261847581511
rh_G&S_subcentral_thickness,-0.04203036438410037,-0.005060568511957307,0.4620706535816795,0.07721781778226251,0.19549045881521204,0.03616798925171338,-0.11485493782732271,0.024325071972295706,-0.28532680856565906,0.07129363769913387,-0.35632697839932376,-0.08027779180096326,-0.04954465588626505,0.5740743892839302,0.0751761596789159,0.19138159130980828,-0.33037667900003675,-0.21115786591315078,0.4323231357758151,0.1602616789133464,-0.2228474987369155
rh_G&S_transv_frontopol_thickness,-0.08379770142864419,0.311282061050639,0.058895455895397054,0.19027524705913812,0.31996592990189787,-0.20610858206914673,-0.04434756419607433,-0.07278131743355107,0.27863973631746886,-0.12473480232473129,-0.20672766414534416,-0.0014886840753056685,-0.145310446000155,0.10574387216211548,-0.15398096954736443,0.5645388000221808,0.20615089810563642,-0.25444474689071617,0.03986957256846174,0.18721212879978202,-0.5427846731104436
rh_G&S_cingul-Ant_thickness,0.10795876887561562,0.29910057362932757,-1.02059482050802,0.5716975963502161,0.5905555788971162,0.8962689969691673,0.7111408825730487,0.24924362453801926,1.5516602143238265,0.5011195213659086,0.5781472064708566,-0.4430628575385352,-0.16195276508108286,0.2191108700774332,-0.41108133299228716,0.2495012048867741,0.9788270047537326,-0.14787359426118182,0.35654522803570954,0.5104757843787757,-0.5196842018161938
rh_G&S_cingul-Mid-Ant_thickness,-0.10288368262134458,0.29322167661303067,-1.2157571236654114,0.1581456121531394,0.45073685064584545,1.1964404273649292,0.614953200530277,0.5798918983087124,1.5600562482784897,0.800161984642504,0.4161254135571901,-0.015037124577300685,-0.39872261664332564,0.39858596716579897,-0.3744448911579544,-0.03634579863554457,1.4750171929295846,0.5147705125427118,0.6419041584644989,0.6504092594006893,0.43629638363422135
rh_G&S_cingul-Mid-Post_thickness,-0.09987859844742107,0.1691879633028357,-0.507920722813478,0.1856870071302363,0.46065167483757025,0.7839398977763512,0.5515823533892527,0.2407271106103791,1.3848851332323284,0.3598393220833868,0.29820333977595803,0.10523620057161973,-0.20218093831674283,0.41349978883942995,0.07823603134072202,-0.4340266399157025,0.3695392493953167,0.09309081209320215,-0.0035736165686753546,0.13185569529710459,-0.017924041056180392
rh_G_cingul-Post-dorsal_thickness,-0.260056356059884,0.06141484699575823,0.32308437512618604,0.48816944765142023,0.44143370586952535,0.44381949094336653,0.19501993654050329,-0.09734735262551067,0.30745952955232475,0.5375452842515364,0.5504019903192531,0.10070079890996658,-0.3924406789297055,0.3673866540297881,-0.24653332039877213,-0.6772480305585075,0.10360601751778983,-0.45165616050105023,-0.5560092363232892,-0.26752985787244615,-1.0677866452235822
rh_G_cingul-Post-ventral_thickness,-0.6775612795890231,0.3468295261650651,-0.6043883922739731,0.2441419910251271,-0.07536831273668185,0.7357719484908225,0.15898154180192794,-0.010383169360355092,0.6175226424061803,0.2313668943142136,0.5467259451197906,0.6188292742205468,-0.013878812578874975,-0.37926198661236254,0.020945931981639566,-0.2597497948811975,0.04525328428780744,0.5733923886519762,0.07655632886241086,0.06183213609990509,1.0170914149357513
rh_G_cuneus_thickness,-0.6406367239079228,-0.07205521040703049,1.323616754845924,-0.6197774037896097,-0.7685192894929365,-0.45195855887782416,-0.8881353265082232,-0.4729127475242298,-1.821437321883653,-0.4144713184059288,-0.38494072571271387,0.19139976262759403,-0.0943206558720284,-0.17898295453612315,0.13139836668567156,0.31304150329178254,-0.7795825926845604,-0.3529322928427832,-1.1840610688971271,-0.8886207439633983,-0.21275628825643197
rh_G_front_inf-Opercular_thickness,0.33430531495453775,0.04255298198259317,0.10922188016305912,0.5412942689458048,0.7636137613830802,0.6013251646223458,0.18681293705342872,0.4951649580635472,0.6662063160007797,0.04446395006114423,0.171997199568029,-0.09715665216581121,0.07204986527018374,0.5633371042642507,0.26074407767887425,0.102932911497291,-0.27657062285063283,-0.196789929830648,0.4099728644494393,0.41583192734361896,-0.5151339764722014
rh_G_front_inf-Orbital_thickness,-0.39513116908603463,-0.13479747653977261,0.45425954463366847,-0.03767508743392966,0.31749295689713053,0.11638128725700529,0.42693375795775207,0.010976294373242065,0.7791066149396724,0.3813702102022981,-0.4481516257005068,-0.007018980160680115,0.10898408167395171,0.5321551735660741,-0.0036763901658654063,0.23315729996729462,-0.23613214590533596,-0.00025204898565775897,1.0547564705461467,0.5180406935762123,0.23341845312213505
rh_G_front_inf-Triangul_thickness,-0.8275119042969872,0.18456416407284984,0.3057827881065107,0.4362618134062142,0.6009251819401077,0.39851708155353055,0.2345794436527365,0.33694447656168913,0.4916852154578971,0.25770814233031186,-0.37038344524283034,-0.53990221097207,0.21309453253844504,0.6329621423246476,0.2570083982441765,0.14703884221211502,-0.7906360349164171,-0.08437328436236541,0.2134419541563086,0.1145289322529273,0.2858580918617029
rh_G_front_middle_thickness,-0.09716013296966264,0.3327222392896119,0.14411006865543483,0.3247469578627992,0.4423517150998408,-0.15260014550165554,0.06250476790790253,-0.08026531390986683,0.1700596087421214,0.2102437194851648,-0.06180782658499099,-0.081241446650459,-0.3772840807468084,0.3739609197226444,-0.2547832946292371,-0.388022136896508,0.06674511485645238,-0.5868729692507534,0.046294861465932056,0.04300373717513819,-1.029396021875358
rh_G_front_sup_thickness,-0.11402400235933995,0.3749310584871521,-0.11411617227115517,0.20788368795930687,0.3857489841229513,0.20361788097813938,0.3921778573151191,0.0978287017917281,0.512238837920137,0.16133937843304266,-0.02909584727404575,-0.13582859453239363,-0.31306251644346744,0.3717657685912469,-0.15075828005244593,-0.10443242219294567,0.26538675323843947,-0.1734214802972266,0.013777110377215322,0.13697977326184516,-0.30530072721739493
rh_G_Ins_lg&S_cent_ins_thickness,0.7989273366199514,-0.07266788337754232,-0.6199485932082838,0.4710220499296699,0.8184996653190305,0.9954581854486082,0.09845475921225932,0.8131617358470318,1.3084163257996395,0.148061112187801,0.13809297674627807,-0.485310357433376,0.09184154210764268,-1.0756736192784337,0.19163208676562554,-0.11197580156295944,0.7512130685331104,-0.3189705065551416,0.7845409001840397,0.7524551936615967,-1.0918279990959345
rh_G_insular_short_thickness,0.28233994974831317,0.30534612744973677,-0.33225023348108923,0.6402840961239702,0.7689109773116573,0.6106498352629339,0.26376412418923195,0.8247935228192849,1.3106857062960844,0.15694591403168331,0.1775106482811594,-0.1685295109279058,0.16472839210997417,0.5171835155590325,0.0546148198269219,0.1653053335869333,-0.022745546571946773,0.025221587440978934,0.4874411569297781,0.441988370329514,-0.25365771318722186
rh_G_occipital_middle_thickness,-0.17677992402973053,-0.20393633527315502,0.6037062632543367,-0.14708676113569172,-0.13962733209288933,-0.2084786648189325,-0.2955133668596335,-0.14012826168947057,-1.057614831286998,-0.1257031642124197,-0.11817721308607396,0.19054466633810446,-0.21881509726628628,-0.04851157557706938,-0.1140512228953856,0.1858208736621972,-0.1782816712358456,-0.3718147535521896,-0.17139144431713782,-0.10533657628383693,-0.438981626325845
rh_G_occipital_sup_thickness,-0.1989063798691465,-0.13890802246993653,1.0453396961688453,-0.05303010726008618,0.1132500982572302,-0.3975717413004435,-0.47793451938821657,-0.5195799457416247,-1.126553468110812,-0.19844447554816178,0.054015394063240026,-0.020769324016450798,0.060903364854869135,0.018497243199763293,-0.04898405353491566,-0.29861077367010075,-0.5861309060280371,-0.8403315613281904,-0.7480142809087236,-0.594684261307588,-0.9821430168403917
rh_G_oc-temp_lat-fusifor_thickness,0.502471917171118,-0.24491155826733035,0.2919641365510722,0.18306020617764093,-0.12997948197125228,-0.3085832773494801,-0.02936522056802271,-0.34744863789806807,-0.2478233884045566,-0.24638041448064674,0.09353435195021507,-0.06885170330374214,0.2703399242010967,-0.33105503918231083,0.3688053258765097,0.019579585733266607,-0.3215400098968617,0.09156503259968866,-0.5463054347110996,-0.38090621966437727,0.11320673497424986
rh_G_oc-temp_med-Lingual_thickness,-0.9253056305071401,-0.41542111132456405,1.3458686643571103,-0.7892499893513818,-0.9305925701974089,-0.021542428860120467,-1.013826743599387,-0.44465342422758736,-1.4322283680208439,-0.4020918607637034,-0.23947823619923833,0.3846176022253857,-0.5128889611521146,-0.23405138050551139,0.3519314643965774,0.18107359998355124,-0.9442759800046361,-0.3951390883084695,-0.5305965848964181,-0.608684373268501,-0.4843842735995824
rh_G_oc-temp_med-Parahip_thickness,0.3793632600331893,-0.7176025152498676,-1.2605515564425225,-0.2363486926438708,-0.3793419780718693,0.8918719931408121,0.8244427248816227,-0.10372808906299463,1.0281658587604445,0.19897259905747502,0.000844202419791333,-0.43858118516737804,-0.7783682375337023,-0.7778786806686393,0.07963525107265838,-0.17151201357790122,0.977317652499845,0.18324007232343867,1.4281607573648287,0.9611466143572865,-0.22340107694073535
rh_G_orbital_thickness,0.0869064296265169,0.08678360854584838,-0.20120577539858667,0.40619166964968223,0.734851966330306,0.14660678768739194,0.33977735697766204,0.030820072943515322,1.0483756891698048,0.32126254055163167,0.14869101425661543,-0.3882079160572467,0.30039216647243805,0.09282071994283855,-0.14166063635309173,0.3285049554999097,0.1115796796400418,-0.36953190955469045,0.3885488868924093,0.36609231142840726,-0.5684218528028617
