,ni1-SV2A-M1-mGluR5-5HT6-CB1-GABAa-HDAC,ni2-5HT2a-5HT4-5HT1a-5HTT,ni3-FDOPA-DAT-D1-NMDA,ni4-GI-5HT1b-MU-A4B2,ni5-VAChT-NET,ni6-CBF-CMRglu,ni7-COX1,ni8-H3,ni9-D2,ni10-TSPO,ce1-Ex7-In4-Ex5-Ex4-In1,ce2-Oligo-Endo,ce3-Micro-OPC,ce4-In3-In2-Astro,ce5-In6-Ex2,ce6-Ex8-Ex6,ce7-In7-Ex3,ce8-In5,ce9-In8,ce10-Ex1,mr1-myelin
lh_G_postcentral_thickness,0.0113194785177725,-1.9549555241735883,-2.072954455237192,-0.0239469574029523,0.8677839577122604,-0.2948194670722032,0.1330930348577945,-0.0242892784056665,-1.038700063071779,-0.6438276274291935,-0.8095607927330496,-0.7127937776298422,0.359536287727315,-1.1190126769103366,0.5464111608901208,-1.067547718730403,0.8422191942397899,-0.3987791323638047,-0.1331183962437077,-1.5520242905296249,1.0171906
lh_G_precentral_thickness,-0.3398501288767404,-1.243738939014828,-1.755103864907693,0.5757720801338952,1.2550107750580315,-0.1353291625823534,-0.3151645659649885,-0.1334325808784452,-0.7726019766226297,-0.1664430943499688,-0.4510431407851927,0.735637901756982,0.5011141996622582,-1.024105164586693,0.2720856718497409,-0.0529053480545275,0.2808962427853015,-1.4531773428637924,-1.7199063255815366,-0.7834024551320374,1.0443534
lh_G_precuneus_thickness,0.6215260509528158,0.1088959670491743,0.0087984683526425,0.16691306542712,0.0256364422957078,1.4827042560099004,-0.6201696547876344,-0.944833959980348,0.8344073159259623,-0.2351570312545275,-0.0504704798044875,-1.143077204564673,-1.405144023799086,-0.3665399568297998,0.0009435024485897,-0.5483698633464212,-0.8605579712167504,-0.3113137306253283,-0.6333660146064788,0.35188511376417,-0.08808291
lh_G_rectus_thickness,0.1506935758559233,0.6001307806735058,0.2926863321900111,0.1427303586327317,-1.1824460364204148,-0.2530166291766085,-1.3451256182702185,1.8072519683618355,1.0833497775558858,0.8781101043298704,1.2666561290250042,-1.4107961785630048,0.9809136301971692,0.5474974665396946,0.0369506866587956,-0.133608186656899,-0.5791199419620363,0.1697380642969121,0.404244904693308,0.5211129071506311,-0.87379956
lh_G_subcallosal_thickness,-0.0134751156545059,1.5270097018757254,3.089833970087184,-0.7783221179737055,0.1368362280242606,-0.1800584422932769,-0.981010002720354,3.0532767155301777,-0.7983276953434935,-0.8605162055777782,1.8754010151513043,0.6096079630597072,3.265310909425588,-0.4760510996466602,-2.5298527241728106,0.2893279257432872,-2.429950678364125,-1.9900696119511403,-0.8620883806795411,-1.7518457170667698,-1.3055874
lh_G_temp_sup-G_T_transv_thickness,0.5347067891095654,1.96069622234072,0.974529038653616,0.0646038813878968,2.084959514634873,1.8648815741154805,0.7483330471796878,-0.2331440833340977,0.8982838513818436,0.5029369345107673,-1.209836433567047,0.8565308378764844,-0.1310573125390733,-0.6731874340266875,0.7072045910664664,0.7550466750166167,2.445420562503183,1.4568654514501085,0.9524051661706696,-0.0059671973134907,2.497301
lh_G_temp_sup-Lateral_thickness,0.6911356044584263,1.823579323623829,-0.1127769600626696,-0.0612327289050707,0.1655651502109277,-0.6165463330851655,-0.93228897756721,-0.5814985182708,-1.1319104852504094,0.2737169838571833,0.5545696228034296,-1.4703922521032593,0.4100903116326158,-0.3547122984162754,-0.6797308655605149,-0.7912575869235431,0.4660070285291567,1.0730354898089929,-0.6252691393500169,0.4486419081242082,-0.18657033
lh_G_temp_sup-Plan_polar_thickness,-0.9202693276882272,1.0296656157659618,0.6602973875372762,-2.483828932270108,-1.3317430915978996,-2.96191956535212,-0.9893216103499444,1.8963865796708712,-3.320962650335023,1.5352816439107788,1.6857249908112195,0.7583950085385651,1.132912785897874,0.8929459683120304,-1.7439428842728153,1.9681864813587877,-2.1627928054639884,-0.553726572088223,0.3616812138089451,1.297383986350225,-0.94653827
lh_G_temp_sup-Plan_tempo_thickness,0.9195366362199116,1.126932514307709,0.1412121493666589,0.2660531765306705,0.7553690016629812,-0.1379091915822226,-0.2408178628445073,-0.4717322892989174,-0.2831756893890594,0.150702661635828,-0.0783310030316809,-0.2303670830510861,-0.633650019825903,-0.6757304375694312,-0.3206299108557496,-1.2524721601512965,0.0192052901422577,0.437918686009307,-0.4052263097052908,0.4049436107398383,0.08973883
lh_G_temporal_inf_thickness,0.5996409425203303,1.2301520892710616,0.4654293313141318,-0.390253281510403,-0.7208413854236265,-1.3939371478823894,-0.7272167105447087,-0.5879901563185772,-0.9337134361093464,-0.1410542147210819,0.9670819018389508,-0.8052324974700098,0.3967284355610556,0.2274596575491432,-1.446589587856925,-0.4858773648942028,-0.0555300693329877,0.3998378983672062,-1.4112614027811,0.6326779399832334,-0.84683496
