,ce1-Ex7-In4-Ex5-Ex4-In1,ce2-Oligo-Endo,ce3-Micro-OPC,ce4-In3-In2-Astro,ce5-In6-Ex2,ce6-Ex8-Ex6,ce7-In7-Ex3,ce8-In5,ce9-In8,ce10-Ex1
lh_G_temp_sup-Plan_tempo_thickness,-0.07833100303168099,-0.23036708305108614,-0.633650019825903,-0.6757304375694312,-0.3206299108557496,-1.2524721601512963,0.01920529014225776,0.43791868600930706,-0.40522630970529083,0.4049436107398383
lh_G_temporal_inf_thickness,0.9670819018389507,-0.8052324974700098,0.39672843556105564,0.22745965754914327,-1.446589587856925,-0.48587736489420286,-0.05553006933298771,0.3998378983672062,-1.4112614027811,0.6326779399832334
lh_G_temporal_middle_thickness,0.847353814596458,-0.7877571351380839,-0.10291982417094934,-0.3199858250635504,-0.8367089746945341,-0.38141042282483784,-0.29624710785897995,0.9543656203763903,-0.9345036883296959,0.3222524392255746
lh_Lat_Fis-ant-Horizont_thickness,0.7040939705412064,0.2757319789358571,-0.3526584529683599,1.7129585406334291,1.3623897297784189,1.916931173054054,0.5985884887773764,0.6954767303648638,0.06808698580418149,-0.5149268525403554
lh_Lat_Fis-ant-Vertical_thickness,,,,,,,,,,
lh_Lat_Fis-post_thickness,-1.0475657682816533,0.5037788447655954,-0.6451213971858996,-0.22848369298211163,0.3777392474169904,0.27372713717405694,0.678917946637018,0.915459502948281,-0.04841221765559971,0.8013017413595909
lh_Pole_occipital_thickness,-3.0221493870926044,-1.6675668762072542,-0.6949096014270034,-0.786386867896953,-0.17166914473970363,-1.3248520068112133,2.0851273044818646,-0.867549347414893,0.3952950513992555,-2.6293883310766812
lh_Pole_temporal_thickness,0.7355642766348813,0.25291763407027795,2.32843487468491,1.8804984852098994,-1.7940719231677467,-0.22334265450099855,-0.3933249337762996,-0.8106948184673483,-1.0454168789397658,2.048409699109782
lh_S_calcarine_thickness,-1.1074867277091887,-0.07289817741876062,-0.8797322169138574,-1.0447935382084828,-0.26668114573498825,-0.8643528776764602,1.233971976974549,-0.49050261293007513,0.175971633505294,-2.010351145600801
lh_S_central_thickness,-1.7342151402835333,1.4190841719994192,-0.03555776269290801,-0.8971746704679449,0.45310019841317384,0.05111390900818635,1.3910744378719202,-1.1464576687484023,-1.291925728041031,-1.249281296898003
lh_S_cingul-Marginalis_thickness,-0.12890192041330834,-0.07771010962734826,-1.0213828364362547,1.344666383924998,0.12647869124103536,0.5142642698095037,-0.9412622376919598,0.23017526525663717,-0.7754115656862759,1.2918957714874229
lh_S_circular_insula_ant_thickness,0.8609469943172001,0.8947883280880014,-0.21090226370841988,-0.44258559647875717,0.6940352043334442,1.7491242741489117,-1.0822796305805864,1.1145043878969376,1.3845882024804554,-0.34943915001486386
lh_S_circular_insula_inf_thickness,0.3388992628314707,-0.14066150459773796,0.5712078958929423,0.2558850726597889,-1.065424417963011,0.5317238849314295,0.1281958936008819,0.9032923200134735,-0.12605238125296625,1.589188468182743
lh_S_circular_insula_sup_thickness,0.7934388903746707,0.37247146765601563,-0.32127757196403467,0.6771634098511861,-0.3205517424159458,2.5475779745134473,-0.2000991627292567,0.8742878725891622,1.0912836621760158,1.5596281134713943
lh_S_collat_transv_ant_thickness,1.5138064017770507,-0.872348311149723,0.7670320570356312,0.3663501229189192,-2.211996531481024,-0.5474875642269417,1.2239139300928281,0.16766149559802238,-1.1994734775202018,1.5513107631651057
lh_S_collat_transv_post_thickness,-1.9602670836645373,3.493152179215868,0.19102917898281635,-1.001373898172588,2.6478092526541137,-1.8814905516334473,2.756638499556308,-0.5517633436104415,2.5065339973085625,-0.6051131144057431
lh_S_front_inf_thickness,-0.5882222982028116,0.281843318283021,-0.20167383342206924,-0.8676495837417145,1.5817419206564232,-0.49615891629902226,-0.2400710541026967,-0.041780764052790534,-0.4904611157278955,0.3140734386226913
lh_S_front_middle_thickness,0.2802565448361959,1.0257885560149569,-1.1095717229858435,1.953838660439742,1.4839326597451556,0.935813684832382,-2.0394680803472482,0.053166422112125106,0.01710543763780409,0.8524365174066617
lh_S_front_sup_thickness,0.2847788555508301,0.9186858296789855,-0.9154278068195182,0.018946826196907046,0.9915434128006196,0.9215660003389766,-0.7504058147601678,0.247960213979033,0.9124943827927496,0.9022244192663647
